latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
9.646,-63.557,323,3.1,1.7,2021-01-28,0310,T,100,6.0NRT,291.2,106.5,N
9.643,-63.585,307.4,3.1,1.7,2021-01-28,0310,T,39,6.0NRT,290.7,36.5,N
9.645,-63.562,317.4,3.1,1.7,2021-01-28,0310,T,95,6.0NRT,291.2,78.8,N
9.66,-63.565,309.8,3.1,1.7,2021-01-28,0310,T,78,6.0NRT,291.2,48.9,N
9.653,-63.621,326.5,3.1,1.7,2021-01-28,0310,T,100,6.0NRT,291.1,126.3,N
10.062,-64.858,303.4,2.5,1.5,2021-01-28,0310,T,55,6.0NRT,291.1,17.2,N
10.06,-64.881,303.7,2.5,1.5,2021-01-28,0310,T,56,6.0NRT,290,18.2,N
10.163,-68.203,300.4,1.4,1.2,2021-01-28,0310,T,26,6.0NRT,288.9,8,N
8.323,-80.535,314.6,3.4,1.7,2021-01-28,0310,T,89,6.0NRT,290.9,71.3,N
10.56,-72.303,305.1,1,1,2021-01-28,0310,T,63,6.0NRT,294.1,4.8,N
11.128,-72.579,306.5,1,1,2021-01-28,0310,T,68,6.0NRT,296.2,4.8,N
11.432,-72.062,304.3,1,1,2021-01-28,0310,T,51,6.0NRT,292.4,3.7,N
11.439,-72.073,303.7,1,1,2021-01-28,0310,T,16,6.0NRT,292,3.1,N
19.345,-72.428,304.1,1.1,1,2021-01-28,0310,T,58,6.0NRT,290.8,6.7,N
39.441,110.152,307.1,1.1,1.1,2021-01-28,0345,T,65,6.0NRT,274.4,12.5,D
37.305,112.174,303,1.6,1.2,2021-01-28,0345,T,54,6.0NRT,277.1,15.2,D
35.604,110.935,305.3,1.4,1.2,2021-01-28,0345,T,61,6.0NRT,281.4,13.7,D
34.801,109.374,302.3,1.2,1.1,2021-01-28,0345,T,51,6.0NRT,284.2,7.6,D
33.507,113.043,310,2.1,1.4,2021-01-28,0345,T,65,6.0NRT,285.5,31.4,D
33.502,113.066,303.6,2.1,1.4,2021-01-28,0345,T,49,6.0NRT,284.4,19.1,D
29.797,106.678,302.5,1.1,1,2021-01-28,0350,T,52,6.0NRT,282.4,5.7,D
26.397,114.686,306.2,4.1,1.9,2021-01-28,0350,T,0,6.0NRT,279,57.8,D
26.935,111.378,308.5,2.3,1.5,2021-01-28,0350,T,67,6.0NRT,285.5,33.9,D
26.931,111.402,307.9,2.4,1.5,2021-01-28,0350,T,66,6.0NRT,285.5,32.7,D
27.742,102.206,303.4,1.1,1,2021-01-28,0350,T,55,6.0NRT,290.7,4.2,D
27.74,102.216,302.5,1.1,1,2021-01-28,0350,T,37,6.0NRT,289.7,3.8,D
26.978,103.771,308.5,1,1,2021-01-28,0350,T,47,6.0NRT,284.8,8.7,D
27.16,101.193,306.7,1.2,1.1,2021-01-28,0350,T,46,6.0NRT,284,9.5,D
27.15,101.192,316.9,1.2,1.1,2021-01-28,0350,T,77,6.0NRT,282.8,19.6,D
26.997,101.732,308.7,1.1,1,2021-01-28,0350,T,63,6.0NRT,285.6,10.4,D
26.996,101.742,312.3,1.1,1,2021-01-28,0350,T,62,6.0NRT,290.5,13.2,D
27.032,101.248,301,1.2,1.1,2021-01-28,0350,T,22,6.0NRT,289.3,5.2,D
27.022,101.245,302.5,1.2,1.1,2021-01-28,0350,T,30,6.0NRT,289.9,6,D
26.941,101.574,313,1.1,1.1,2021-01-28,0350,T,48,6.0NRT,289.5,12.8,D
26.937,101.568,301,1.1,1.1,2021-01-28,0350,T,0,6.0NRT,287.4,6,D
26.917,101.497,300.6,1.1,1.1,2021-01-28,0350,T,0,6.0NRT,287.6,4.9,D
26.866,101.881,310.6,1.1,1,2021-01-28,0350,T,70,6.0NRT,284.6,12.6,D
26.937,101.273,301.6,1.1,1.1,2021-01-28,0350,T,40,6.0NRT,287.7,5.6,D
26.857,101.332,307.4,1.1,1.1,2021-01-28,0350,T,65,6.0NRT,292.3,8.8,D
26.722,101.992,324.7,1.1,1,2021-01-28,0350,T,83,6.0NRT,288.1,24.3,D
